run,k,algoritmo,maletas,score,tiempo_ms,total_travel_min,espera_min,transbordos,tardanza_min,sin_ruta
1,15000,ALNS,15000,5434839.00,32124,5285107.00,171800.00,3073,0.00,0
1,15000,NSGA-II,15000,6642277.60,56014,6247708.00,466197.00,5403,0.00,0
2,15000,ALNS,15000,5434839.00,33180,5285107.00,171800.00,3073,0.00,0
2,15000,NSGA-II,15000,6659102.40,52895,6259196.00,472708.00,5435,0.00,0
3,15000,ALNS,15000,5434839.00,33036,5285107.00,171800.00,3073,0.00,0
3,15000,NSGA-II,15000,6657768.60,54406,6257947.00,472732.00,5409,0.00,0
4,15000,ALNS,15000,5434839.00,33325,5285107.00,171800.00,3073,0.00,0
4,15000,NSGA-II,15000,6651927.60,54144,6260806.00,461962.00,5388,0.00,0
5,15000,ALNS,15000,5434839.00,33221,5285107.00,171800.00,3073,0.00,0
5,15000,NSGA-II,15000,6658008.80,51801,6260920.00,469236.00,5425,0.00,0
6,15000,ALNS,15000,5434839.00,32947,5285107.00,171800.00,3073,0.00,0
6,15000,NSGA-II,15000,6661192.80,54326,6263372.00,470306.00,5394,0.00,0
7,15000,ALNS,15000,5434839.00,33183,5285107.00,171800.00,3073,0.00,0
7,15000,NSGA-II,15000,6654596.20,55031,6260349.00,465694.00,5423,0.00,0
8,15000,ALNS,15000,5434839.00,33266,5285107.00,171800.00,3073,0.00,0
8,15000,NSGA-II,15000,6655476.60,51685,6263323.00,462952.00,5448,0.00,0
9,15000,ALNS,15000,5434839.00,33135,5285107.00,171800.00,3073,0.00,0
9,15000,NSGA-II,15000,6657848.40,53418,6258350.00,472188.00,5437,0.00,0
10,15000,ALNS,15000,5434839.00,33260,5285107.00,171800.00,3073,0.00,0
10,15000,NSGA-II,15000,6647934.40,53505,6253212.00,466378.00,5405,0.00,0
11,15000,ALNS,15000,5434839.00,32881,5285107.00,171800.00,3073,0.00,0
11,15000,NSGA-II,15000,6650639.80,51911,6253583.00,468956.00,5473,0.00,0
12,15000,ALNS,15000,5434839.00,33366,5285107.00,171800.00,3073,0.00,0
12,15000,NSGA-II,15000,6673038.60,53506,6273553.00,472037.00,5464,0.00,0
13,15000,ALNS,15000,5434839.00,33092,5285107.00,171800.00,3073,0.00,0
