k,algo,maletas,score,tiempo_ms,total_travel_min,espera_min,transbordos,tardanza_min,sin_ruta
15857,ALNS,30047,11470333.60,33694,11153620.00,363962.00,6386,0.00,0
15857,NSGA-II,30047,14035780.00,80873,13202012.00,985245.00,11393,0.00,0
14384,ALNS,29949,10528024.00,34514,10249176.00,319320.00,5848,0.00,0
14384,NSGA-II,29949,12796811.40,110175,12052629.00,878608.00,10324,0.00,0
14783,ALNS,30169,10610042.40,34768,10331232.00,319063.00,5890,0.00,0
14783,NSGA-II,30169,12966403.20,116506,12211728.00,890759.00,10517,0.00,0
16871,ALNS,29963,12449994.20,34493,12112043.00,388359.00,6816,0.00,0
16871,NSGA-II,29963,15173498.00,137473,14293310.00,1040020.00,12043,0.00,0
18162,ALNS,29654,13386876.40,34475,13034642.00,404378.00,7183,0.00,0
18162,NSGA-II,29654,16330815.40,237900,15386605.00,1115188.00,13015,0.00,0
16428,ALNS,29143,12100623.80,37664,11784575.00,362671.00,6478,0.00,0
16428,NSGA-II,29143,14723245.00,240556,13881969.00,993025.00,11714,0.00,0
15904,ALNS,31149,11647233.40,37401,11330971.00,363398.00,6386,0.00,0
15904,NSGA-II,31149,14212242.60,202007,13373909.00,990982.00,11387,0.00,0
15757,ALNS,29118,11383097.20,37100,11076158.00,352839.00,6167,0.00,0
15757,NSGA-II,29118,13901475.20,155090,13089660.00,958964.00,11161,0.00,0
12926,ALNS,30562,9528574.20,34642,9275295.00,290684.00,5183,0.00,0
12926,NSGA-II,30562,11609964.60,152596,10946303.00,783787.00,9158,0.00,0
15132,ALNS,30532,11041551.00,36861,10744843.00,340520.00,6073,0.00,0
15132,NSGA-II,30532,13457687.40,181486,12668313.00,932123.00,10919,0.00,0
